City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Kokopo,-4.352,152.2633,77.11,81,71,4.18,PG,broken clouds
79,Nikolskoye,59.7035,30.7861,30.09,78,37,10.22,RU,scattered clouds
80,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,1,2.3,CA,clear sky
81,Karlshamn,56.1706,14.8619,34.52,81,9,7.65,SE,clear sky
82,Uglovskoye,51.3557,80.1942,25.27,66,100,21.41,RU,overcast clouds
83,Rosoman,41.5161,21.9497,38.48,76,0,1.63,MK,clear sky
84,Kavaratti,10.5669,72.642,81.0,73,4,9.98,IN,clear sky
85,Whitehorse,60.7161,-135.0538,-1.43,84,90,5.75,CA,light snow
86,Kungurtug,50.5994,97.5228,-1.61,91,72,1.79,RU,broken clouds
87,Bethel,41.3712,-73.414,55.04,50,74,3.0,US,broken clouds
88,Moron,-34.6534,-58.6198,98.96,44,6,10.0,AR,clear sky
89,New Glasgow,45.5834,-62.6486,44.91,71,100,11.41,CA,overcast clouds
90,Greensburg,40.3015,-79.5389,50.68,63,90,1.99,US,overcast clouds
91,Keetmanshoop,-26.5833,18.1333,70.72,24,0,17.38,NA,clear sky
92,Santa Fe,-31.6333,-60.7,96.75,18,0,4.0,AR,light rain
93,Dunedin,-45.8742,170.5036,52.47,92,100,7.27,NZ,overcast clouds
94,Ponta Delgada,37.7333,-25.6667,62.51,82,40,9.22,PT,scattered clouds
95,Comodoro Rivadavia,-45.8667,-67.5,58.86,55,75,14.97,AR,light rain
96,Jamestown,42.097,-79.2353,39.02,94,90,5.99,US,light rain
97,Montepuez,-13.1256,38.9997,72.93,74,1,7.67,MZ,clear sky
98,Petropavlovsk-Kamchatskiy,53.0452,158.6483,34.39,60,75,20.13,RU,broken clouds
99,Khatanga,71.9667,102.5,-35.82,95,16,5.06,RU,few clouds
100,Udachnyy,66.4167,112.4,-8.66,99,100,3.33,RU,overcast clouds
101,Hirado,33.3597,129.5531,58.35,89,100,16.62,JP,moderate rain
102,Cape Coast,5.1053,-1.2466,81.16,82,30,7.25,GH,scattered clouds
103,Bilisht,40.6275,20.99,30.96,86,0,3.65,AL,clear sky
104,Yellowknife,62.456,-114.3525,3.42,89,75,11.5,CA,light snow
105,Coromandel,-18.4733,-47.2003,76.24,75,56,3.27,BR,broken clouds
106,Tuatapere,-46.1333,167.6833,50.86,94,100,1.3,NZ,overcast clouds
107,Lavrentiya,65.5833,-171.0,0.27,89,6,8.84,RU,clear sky
108,Ocampo,21.65,-101.5,72.28,26,0,1.97,MX,clear sky
109,Bluff,-46.6,168.3333,51.82,84,100,7.74,NZ,overcast clouds
110,Soto La Marina,23.7667,-98.2167,84.78,43,0,12.17,MX,clear sky
111,Tura,25.5198,90.2201,62.24,77,0,2.51,IN,clear sky
112,Pampa,35.5362,-100.9599,59.95,33,1,17.27,US,clear sky
113,Los Llanos De Aridane,28.6585,-17.9182,71.35,96,40,10.36,ES,volcanic ash
114,Ecoporanga,-18.3733,-40.8306,65.93,94,100,2.93,BR,overcast clouds
115,Quepos,9.4236,-84.1652,92.5,77,51,4.74,CR,broken clouds
116,Sendafa,9.15,39.0333,50.99,42,94,5.66,ET,overcast clouds
117,Labuan,5.2767,115.2417,79.16,94,20,0.0,MY,few clouds
118,Yerbogachen,61.2767,108.0108,-16.6,100,75,3.67,RU,broken clouds
119,Kruisfontein,-34.0033,24.7314,67.89,86,100,9.24,ZA,overcast clouds
120,Presidencia Roque Saenz Pena,-26.7852,-60.4388,92.32,23,34,4.61,AR,scattered clouds
121,Tual,-5.6667,132.75,83.62,72,77,3.78,ID,broken clouds
122,Rocha,-34.4833,-54.3333,85.96,40,63,7.31,UY,broken clouds
123,Shawnee,39.05,-95.7669,60.94,39,1,3.0,US,clear sky
124,Mayo,38.8876,-76.5119,55.45,71,90,4.0,US,overcast clouds
125,Kodiak,57.79,-152.4072,20.71,58,1,0.0,US,clear sky
126,Mar Del Plata,-38.0023,-57.5575,78.82,66,0,11.99,AR,clear sky
127,Victoria,22.2855,114.1577,75.18,87,51,1.99,HK,broken clouds
128,Saldanha,-33.0117,17.9442,63.95,85,0,22.08,ZA,clear sky
129,Talnakh,69.4865,88.3972,-21.59,84,2,8.84,RU,clear sky
130,Batticaloa,7.7102,81.6924,75.52,83,77,8.25,LK,broken clouds
131,Clarence Town,-32.5833,151.7833,64.81,93,100,8.48,AU,light rain
132,Jablah,35.3614,35.9256,57.49,72,20,3.44,SY,few clouds
133,Mana,5.6592,-53.7767,81.59,78,98,7.38,GF,overcast clouds
134,Urumqi,43.801,87.6005,11.35,79,0,4.47,CN,clear sky
135,Mangan,27.5167,88.5333,61.9,97,99,1.83,IN,overcast clouds
136,Verkhnyachka,48.8285,30.0396,43.29,73,98,6.85,UA,overcast clouds
137,Hilo,19.7297,-155.09,80.33,73,75,6.91,US,broken clouds
138,Dashitou,43.3067,128.5114,25.02,93,100,6.02,CN,light snow
139,Bredasdorp,-34.5322,20.0403,63.28,85,100,13.96,ZA,light rain
140,Yulara,-25.2406,130.9889,71.44,30,96,10.36,AU,overcast clouds
141,Tasiilaq,65.6145,-37.6368,28.56,97,100,7.65,GL,snow
142,Garowe,8.4054,48.4845,70.93,75,7,8.61,SO,clear sky
143,Tallahassee,30.4383,-84.2807,76.68,67,40,1.99,US,scattered clouds
144,Korla,41.7597,86.1469,26.78,53,0,4.27,CN,clear sky
145,Vila Velha,-20.3297,-40.2925,67.95,94,90,4.0,BR,mist
146,Santa Cruz,-17.8,-63.1667,95.05,36,20,8.05,BO,few clouds
147,Brae,60.3964,-1.353,42.71,66,99,17.56,GB,overcast clouds
148,Buluang,13.3068,123.3425,76.5,93,13,2.33,PH,few clouds
149,Chapais,49.7834,-74.8492,33.58,80,96,10.49,CA,overcast clouds
150,Airai,-8.9266,125.4092,61.45,89,100,1.9,TL,overcast clouds
151,Russkaya Polyana,49.417,31.9201,45.05,72,99,12.1,UA,overcast clouds
152,Carnarvon,-24.8667,113.6333,62.67,72,0,8.05,AU,clear sky
153,Nacala,-14.5428,40.6728,76.91,84,0,2.66,MZ,clear sky
154,Oistins,13.0667,-59.5333,84.29,65,40,14.97,BB,scattered clouds
155,Kasongo-Lunda,-6.4667,16.8167,70.52,97,100,1.81,CD,light rain
156,Balotra,25.8333,72.2333,75.0,24,0,9.86,IN,clear sky
157,Makhinjauri,41.6739,41.694,49.86,81,0,12.66,GE,clear sky
158,Birjand,32.8663,59.2211,48.67,31,0,6.91,IR,clear sky
159,Inhambane,-23.865,35.3833,75.18,78,75,3.0,MZ,broken clouds
160,Hovd,48.0056,91.6419,11.14,35,10,1.5,MN,clear sky
161,Shimoda,34.6667,138.95,56.1,87,100,8.75,JP,overcast clouds
162,Yeniseysk,58.4497,92.1703,9.14,96,100,3.6,RU,overcast clouds
163,Mercedes,-34.6515,-59.4307,96.51,12,5,13.94,AR,clear sky
164,Cabra,37.4725,-4.4421,55.9,75,66,3.47,ES,broken clouds
165,Pangnirtung,66.1451,-65.7125,10.4,79,20,8.05,CA,few clouds
166,Weyburn,49.6668,-103.8511,15.19,67,100,4.61,CA,overcast clouds
167,Le Vauclin,14.5452,-60.8388,86.05,62,20,11.5,MQ,few clouds
168,Tsabong,-26.0217,22.401,69.31,62,1,21.99,BW,clear sky
169,Vao,-22.6667,167.4833,73.78,80,35,14.65,NC,scattered clouds
170,Tessalit,20.1986,1.0114,74.91,25,69,9.91,ML,broken clouds
171,Castro,-24.7911,-50.0119,76.06,47,5,5.23,BR,clear sky
172,Praia Da Vitoria,38.7333,-27.0667,63.75,88,40,28.21,PT,scattered clouds
173,Luderitz,-26.6481,15.1594,61.09,80,0,12.01,NA,clear sky
174,Yelnya,54.5786,33.1837,33.04,99,100,6.04,RU,snow
175,Lebu,-37.6167,-73.65,59.76,79,3,17.74,CL,clear sky
176,Hampton,37.0299,-76.3452,69.82,75,90,3.44,US,overcast clouds
177,Puerto Narino,-3.7703,-70.3831,87.75,95,100,1.66,CO,overcast clouds
178,Esperance,-33.8667,121.9,64.24,88,99,16.15,AU,light rain
179,Kapit,2.0167,112.9333,73.89,99,100,0.54,MY,overcast clouds
180,Nishihara,26.1842,127.7558,76.28,89,40,3.44,JP,scattered clouds
181,Aklavik,68.2191,-135.0107,-11.2,77,40,5.75,CA,scattered clouds
182,Brattvag,62.6002,6.4434,36.84,87,40,5.75,NO,light snow
183,Iskateley,67.6803,53.1512,8.13,97,100,5.28,RU,overcast clouds
184,Ibra,22.6906,58.5334,68.7,29,87,6.17,OM,overcast clouds
185,Miram Shah,33.0086,70.0697,57.52,19,0,8.37,PK,clear sky
186,Grindavik,63.8424,-22.4338,41.47,93,90,17.27,IS,overcast clouds
187,Medea,36.2642,2.7539,48.65,82,42,5.26,DZ,scattered clouds
188,Narsaq,60.9167,-46.05,34.02,99,100,4.14,GL,overcast clouds
189,Diffa,13.3154,12.6113,81.32,19,23,7.0,NE,few clouds
190,Tautira,-17.7333,-149.15,82.42,67,10,6.96,PF,clear sky
191,Pisco,-13.7,-76.2167,69.85,78,0,10.36,PE,clear sky
192,Belorechensk,44.76,39.87,45.32,79,1,10.42,RU,clear sky
193,Koumac,-20.5667,164.2833,76.39,76,0,3.76,NC,clear sky
194,Buraydah,26.326,43.975,70.25,39,77,2.28,SA,broken clouds
195,Sioux Lookout,50.1001,-91.917,16.18,79,90,17.27,CA,light snow
196,Isangel,-19.55,169.2667,77.11,78,100,2.3,VU,overcast clouds
197,Sao Jose Da Coroa Grande,-8.8978,-35.1478,80.44,68,10,12.08,BR,clear sky
198,Chumphon,10.3333,98.8333,71.06,96,100,1.48,TH,overcast clouds
199,Libenge,3.65,18.6333,75.74,78,100,3.33,CD,overcast clouds
200,Ostrovnoy,68.0531,39.5131,28.96,87,100,29.01,RU,light snow
